Date,CPI,% Change
2022-01,157.178,
2022-02,158.617,0.915522528598145
2022-03,160.835,1.3983368743577307
2022-04,161.787,0.5919109646532084
2022-05,163.615,1.1298806455401156
2022-06,165.553,1.1844879748189374
2022-07,165.495,-0.03503409784177958
2022-08,165.389,-0.06405027342215597
2022-09,165.845,0.2757136206156252
2022-10,166.609,0.46067110856522486
2022-11,166.498,-0.06662305157585369
2022-12,165.974,-0.3147184951170612
2023-01,167.267,0.7790376806005694
2023-02,168.069,0.47947293847561134
2023-03,168.501,0.2570372882566119
2023-04,169.376,0.5192847520192778
2023-05,169.774,0.23498016247873732
2023-06,170.303,0.3115907029344944
2023-07,170.566,0.15443063246096678
2023-08,171.315,0.439126203346496
2023-09,171.701,0.2253159384759007
2023-10,171.62,-0.04717503101321352
2023-11,171.243,-0.2196713669735506
2023-12,171.04,-0.11854499162009535
2024-01,171.937,0.5244387277829832
2024-02,173.045,0.6444220848333737
2024-03,174.19,0.6616775983125933
2024-04,174.868,0.38923015098455416
2024-05,175.123,0.145824278884632
2024-06,175.128,0.0028551361043405166
